,keyword,importance,total_importance
138,"shipping refunds, vehicle insurance, transportation delay, delivery date, refund",0.4512-0.4378-0.4093-0.4032-0.3879,2.09
139,"phone bill, car loan, immediate refund, utility bills, bill",0.5511-0.3948-0.3546-0.3431-0.3239,1.97
140,"deeper scratches, light scratches, scratches, scratch"", blemishes",0.6421-0.6069-0.5998-0.4062-0.396,2.65
141,"contacted carvana, temp tag, car carvana, first payment, payment",0.3859-0.3137-0.3068-0.2865-0.2782,1.57
142,"carvanas warranty, carvanas warranty company, remanufactured engine, warranty company, warranty",0.5822-0.5679-0.4449-0.3959-0.3886,2.38
143,"credit report, order car, car carvana, payment, older address",0.3803-0.3518-0.3455-0.3033-0.2864,1.67
144,"cosmetic claims, claims, warranty company, cosmetic issues, warranty",0.5599-0.4117-0.3885-0.3764-0.369,2.11
145,"interim license, permanent non - interim license, initiated purchase, buick encore gx, buick encore",0.4935-0.4656-0.4599-0.4306-0.3734,2.22
146,"complaint carvana, vehicle registration, documentation carvana, registration, registration documents",0.571-0.5173-0.4693-0.4603-0.457,2.47
147,"payment deadline, customer service, payment, carvana provided, * payment",0.4415-0.3373-0.3258-0.3115-0.3063,1.72
148,"car shakes, carvana, warranty, bought car, cars",0.4182-0.3748-0.3661-0.3373-0.287,1.78
149,"refund, carvana, purchase vehicle, delayed, shipping fee",0.4803-0.4352-0.3987-0.3831-0.3055,2.0
150,"purchase carvana, refunded, cash purchase, new delivery date, transport fee",0.4333-0.3782-0.3289-0.3217-0.3073,1.77
151,"car purchase, carvana car, car repairs, carvana care, guarantee",0.4777-0.4299-0.4116-0.4011-0.3869,2.11
152,"refund, rep ., representative, rep, past rep . * * * name",0.4794-0.3972-0.3869-0.3813-0.3744,2.02
153,"contacted carvana, order cancellation confirmation, financing, process payment, carvana supervisor",0.4725-0.4711-0.3967-0.3566-0.3482,2.05
154,"refund carvana, refund, carvana, day carvana, chase",0.6875-0.5115-0.3556-0.3317-0.2824,2.17
155,"trunk, dealership, repair shops, deliver, vehicle",0.4862-0.3792-0.3633-0.3595-0.352,1.94
156,"carvana contract, carvana, fraud, bridgecrest, vehicle",0.6148-0.4652-0.3863-0.3607-0.3013,2.13
157,"vehicle purchase, purchased vehicle, carvana agent, refund, shipping fee",0.3927-0.3816-0.374-0.3553-0.3442,1.85
158,"repair company, repair company silverrock repairs, crack windshield, repair, exchange car",0.5011-0.4664-0.4625-0.4552-0.444,2.33
159,"day guarantee, guarantee, car note payments, carvana, mustang",0.4925-0.4626-0.4275-0.3838-0.3702,2.14
160,"problem car, car, vehicle, vehicle carvana, engine problems",0.4284-0.3614-0.3538-0.3347-0.3343,1.81
161,"third swap, 3rd swap, second swap, first swap, swap",0.4992-0.4896-0.4793-0.4391-0.4328,2.34
162,"exhaust leak, buick enclave avenir, transmission oil, buick enclave, vehicle inspection",0.4646-0.4542-0.4165-0.3932-0.3338,2.06
163,"signed contract, contract, traded, wrong email address, loan",0.4692-0.3968-0.3072-0.2913-0.2845,1.75
164,"acura rdx, headlamp assembly, * * * headlamps, headlamp, acura",0.3907-0.3839-0.3638-0.3607-0.3602,1.86
165,"phone bill, fraud, purchased vehicle, short notice, vehicle purchase",0.4382-0.3869-0.301-0.2897-0.2853,1.7
166,"jeep compass, jeep, documents, vehicle carvana, pay stubs",0.3122-0.2982-0.2914-0.2899-0.2818,1.47
167,"drivers license, legal document, delivery fee, license, new car today",0.4024-0.3956-0.3646-0.3388-0.3239,1.83
168,"common dodge caravan problem, caravan, dodge caravan, air conditioning, new evaporator compressor",0.5479-0.4767-0.4753-0.4493-0.41,2.36
169,"expired tag, tag registration, temporary tag, new temporary tag, license plates",0.5336-0.4896-0.4829-0.4513-0.3661,2.32
170,"repair vehicle, warranty company, preferred repair shop, warranty, vehicle carvana",0.5421-0.4426-0.438-0.4349-0.425,2.28
171,"vehicle, lemon, broke, contingency, purchased",0.4523-0.4272-0.3372-0.3067-0.2547,1.78
172,"registration, register, carvana, ride sharing credit, temporary plates",0.5009-0.4753-0.4505-0.3746-0.3463,2.15
173,"deductible, carvana paid, truck, working vehicle, vehicle",0.3888-0.3785-0.3612-0.3476-0.3246,1.8
174,"carvana insurance, car insurance, insurance information, insurance, insurance card",0.6453-0.6189-0.585-0.5291-0.4898,2.87
175,"contacted carvana, refund, refunded, carvana, purchase car",0.554-0.511-0.4652-0.4014-0.3615,2.29
176,"carvana care plus, carvana care, contacted carvana, essential program, expedition",0.5966-0.4972-0.4116-0.3989-0.3818,2.29
177,"carvana, different carvana, carvana touts, different carvana advisors, warranty",0.4413-0.441-0.4069-0.3957-0.3757,2.06
178,"tow company, towing, tow, towed, complimentary roadside assistance",0.4692-0.429-0.4104-0.3975-0.3782,2.08
179,"car buying, past address, car company, verification, carvana",0.3623-0.2833-0.2801-0.2478-0.2385,1.41
180,"purchase car, carvana.com, carvana, carvanas, car asap",0.4975-0.468-0.4205-0.4019-0.4007,2.19
181,"cash check, insurance verification, truck insurance, bank, payments",0.4619-0.3765-0.3672-0.3485-0.3443,1.9
182,"contacted carvana, carvana attached, dealership service, auto repair, vehicle",0.4922-0.4481-0.4144-0.4098-0.4006,2.17
183,"account, car, buy, $, * * * * * * * *",0.2837-0.2672-0.2404-0.1946-0.1544,1.14
184,"bridgecrest carvana, car carvana, company carvana, bought car, carvana paid",0.5005-0.4945-0.4581-0.4498-0.4137,2.32
185,"scam company, purchased vehicle, license plate, scam, registration",0.483-0.4655-0.4464-0.4002-0.399,2.19
186,"financing, bank, new payment, fraud, new payment requirement",0.4027-0.3617-0.3534-0.342-0.3281,1.79
187,"carvana policy, refund, carvana site, carvana, purchased vehicle",0.5306-0.4766-0.4687-0.461-0.4585,2.4
188,"paper tsgs, tire shop, warranty, mechanic, paper tags",0.4301-0.4134-0.3956-0.3866-0.3819,2.01
189,"refund, refunded, carvana, car, call",0.5258-0.478-0.4421-0.2632-0.1979,1.91
190,"cashiers check, unauthorized transfer, vehicle carvana, purchased vehicle, auto loan",0.4684-0.4552-0.4469-0.409-0.4074,2.19
191,"appointment cancellation, cancellation, audi a3, cancel, original appointment",0.5532-0.3884-0.3774-0.3742-0.3692,2.06
192,"leaks- oil pan gasket, repairs, vehicle repair, oil change, repair",0.5076-0.466-0.4534-0.42-0.4194,2.27
193,"bank statements, tax returns, bank, payment, ship",0.3751-0.2905-0.2829-0.2693-0.1901,1.41
194,"driver side window tint, new windshield, window tint, dealership, car carvana",0.4279-0.41-0.3622-0.3564-0.356,1.91
195,"temp tags, temp tag, tags, vehicle carvana, purchased vehicle",0.554-0.5196-0.4148-0.3752-0.3531,2.22
196,"carvana, inspection, repairs, point inspection, claim",0.5062-0.4425-0.4212-0.3545-0.2852,2.01
197,"llc carvana, cvna nonrefship cvna nonre, carvana, preauthorized debit, * * * carvana",0.5535-0.4701-0.4502-0.4205-0.4095,2.3
198,"bad tire, tire replacement, old spare tire, spare tire, tire",0.5373-0.5314-0.5175-0.5049-0.4886,2.58
199,"fraudulent claim, income verification issue, dispute team, fraudulent information, contact carvana",0.4816-0.4118-0.4047-0.3878-0.3849,2.07
200,"tag registration, registration, bought car, tag, car carvana",0.6744-0.5064-0.3496-0.3477-0.3409,2.22
201,"car carvana, carvana promises, carvana, negligence, transaction",0.4598-0.4031-0.396-0.3839-0.3455,1.99
202,"registration, complete registration, register, purchased vehicle, residency",0.5312-0.5309-0.4834-0.4545-0.3411,2.34
203,"adesa, adesa * * * * * * *, adesa atlanta, property, purchased vehicle",0.4028-0.4025-0.3989-0.3809-0.3755,1.96
204,"warranty claim, warranty, warranty terms, silver rock, new brakes",0.4947-0.4046-0.4006-0.3826-0.3786,2.06
205,"carvana, warranty, towed, * * * * * * dealership, dealership",0.4604-0.3901-0.3863-0.3821-0.3802,2.0
206,"carvana, negative account, refund, transaction, cancellation order",0.4268-0.4171-0.4112-0.4024-0.3767,2.03
207,"carvana, worst companies, sale, poor business practices, company",0.6555-0.2856-0.2604-0.2427-0.2311,1.68
208,"warranty * *, warranty, oil leak, warrently, warrently place",0.422-0.3897-0.3627-0.2915-0.2866,1.75
209,"extended warranty, warranty, mile warranty, * * * * expedition maxx, powertrain",0.4398-0.3884-0.3882-0.3854-0.3693,1.97
210,"day money back guarantee, back guarantee, swap vehicle, refund, first payment",0.5467-0.4463-0.4105-0.4011-0.3724,2.18
211,"audi a7, audi, way audi vehicles, breaks squeaking, warranty",0.4792-0.4355-0.4225-0.4109-0.4055,2.15
212,"carvana inspection, vehicle body damage, inspection, unsafe car, rebuilt damage",0.5916-0.5035-0.445-0.4012-0.3975,2.34
213,"overdraft fees, overdraft, purchase car, carvanas, ordered car",0.446-0.3497-0.3267-0.3228-0.3128,1.76
214,"bought car, power steering, steering, car november, dealership",0.4342-0.4055-0.3702-0.3012-0.2985,1.81
215,"temporary registration, registration, odometer statement, odometer, permanent tags",0.4994-0.4384-0.3731-0.3686-0.3677,2.05
216,"check refund, auto loan preapproval, auto loan, refund, vehicle carvana",0.4554-0.447-0.426-0.4225-0.4061,2.16
217,"registration documents, registration document, registration, register, registration process",0.5877-0.5732-0.5498-0.5306-0.5209,2.76
218,"register, audi a4, car delivered, nevada law, arizona",0.4591-0.4511-0.3915-0.3836-0.3781,2.06
219,"permanent tags, title clerk, permanent tag, clerk court, registration",0.4514-0.4436-0.4416-0.358-0.3525,2.05
220,"overdraft, credit union account, cashiers check, credit union, purchasing",0.4643-0.3919-0.3345-0.312-0.27,1.77
221,"vehicle, shady company, hold, crooks, account asap",0.3914-0.3838-0.3157-0.2996-0.2719,1.66
222,"audi, warranty, car online, first payment, payment",0.3961-0.3923-0.3544-0.2716-0.2668,1.68
223,"delivery reschedule, car delivered, vehicle online, delivery time, purchased vehicle",0.5188-0.4882-0.4794-0.479-0.4702,2.44
224,"car carvana, insulation, carvana, battery, silver rock",0.4639-0.3854-0.3834-0.3433-0.2486,1.82
225,"failure codes, car malfunctions, check engine light, key fob, buick",0.5186-0.4952-0.3704-0.3616-0.3552,2.1
226,"refund, refund beings, * * * * * attorneys fees, bank statements, carvana",0.4022-0.3752-0.3229-0.2675-0.2371,1.6
227,"temporary registration carvana, registration carvana, return car, temporary registration, registration",0.6758-0.6355-0.5529-0.4761-0.467,2.81
228,"water leakage, manufacturers warranty, leakage, warranty, additional warranty",0.4516-0.449-0.4057-0.3944-0.3919,2.09
229,"carvana llc, purchased vehicle, vehicle delivery, vehicle carvana, delivery date",0.486-0.4786-0.4543-0.4408-0.4132,2.27
230,"loan, denied, bank, bank account, license",0.4102-0.3744-0.2987-0.2259-0.2087,1.52
231,"temporary registration, vehicle carvana, car tomorrow, registration, contacted carvana",0.5054-0.4251-0.3962-0.3878-0.3853,2.1
232,"cosmetic defects, cosmetic, paint job, paint, carvana offer",0.4892-0.4285-0.41-0.387-0.3399,2.05
233,"shipping refund, purchased vehicle, shipping vehicle, purchase vehicle, carvana purchase",0.5217-0.4636-0.4468-0.445-0.4373,2.31
234,"windshield crack, carvana customer advocate, issue carvana, glass repairs, carvana customer",0.5224-0.5117-0.4796-0.4563-0.4548,2.42
235,"claim process, purchased vehicle, vehicle carvana, process carvana, warranty",0.4914-0.4795-0.4792-0.4289-0.4061,2.29
236,"transportation logistics delay, car delivered, refund, delivery time, delivery date",0.508-0.4425-0.4276-0.4183-0.4113,2.21
237,"refund, cancel, carvana representatives, denied, sudden request",0.4726-0.3562-0.3304-0.3073-0.2873,1.75
238,"temporary license plate, multiple traffic violation notifications, temporary plates, traffic violation, permanent plates",0.5858-0.473-0.4704-0.4454-0.4204,2.4
239,"nashville carvana entity, previous car registration, car registration, correct residential address, plate registration",0.511-0.5047-0.4794-0.4657-0.4629,2.42
240,"carvana location, carvana sales, carvana * *, carvana, carvana * * * *",0.3481-0.3478-0.3217-0.3197-0.3111,1.65
241,"day money back guarantee, back guarantee, warranty, warranty silver rock, guarantee",0.5456-0.5183-0.4234-0.4205-0.4199,2.33
242,"refund, rejected, car delivered, bought car, card",0.5737-0.3369-0.3071-0.28-0.2192,1.72
